Date,Temperature,Charge_Start,Charge_End,Daily_Cycles,Total_Cycles,SOH
2020-11-03,18.247302474998758,5,95,0.7929289957446806,0.7929289957446806,99.96979972583408
2020-11-04,9.1116462192571,5,95,0.7209730270023686,1.5139020227470492,99.94399293399758
2020-11-05,19.89846097467138,5,95,0.8054101315224762,2.319312154269525,99.91246338593466
2020-11-06,7.340773930709217,5,95,0.6879280601665039,3.0072402144360293,99.88032430617575
2020-11-07,43.041262865510774,5,95,0.7947912101557502,3.8020314245917795,99.84761727449315
2020-11-08,15.967687003059725,5,95,0.982776444829224,4.7848078694210034,99.81598312106856
2020-11-09,8.817883895685075,5,95,0.6341953427730512,5.419003212194054,99.7870272134731
2020-11-10,19.282237939787983,5,95,0.9134754464452817,6.332478658639336,99.75297128827208
2020-11-11,11.331983812912508,5,95,0.9648287547665604,7.297307413405896,99.72554530032313
2020-11-12,7.739351736898508,5,95,0.9782777337725117,8.275585147178408,99.69955821869678
2020-11-13,-14.211946266903016,5,95,0.6605089232128569,8.936094070391265,99.67712504043145
2020-11-14,0.3332418669300452,5,95,0.943124770022939,9.879218840414204,99.64912298532487
2020-11-15,16.527046663954692,5,95,0.5496811014970228,10.428899941911226,99.61904379649334
2020-11-16,8.308128679164488,5,95,0.5851924468307153,11.014092388741942,99.58395088589091
2020-11-17,5.307411262580648,5,95,0.8492957231045253,11.863388111846467,99.55554778498158
2020-11-18,9.905371960919682,5,95,0.9957310613902977,12.859119173236765,99.52330795150951
2020-11-19,11.765836309475674,5,95,0.7833591321455323,13.642478305382298,99.48762122788126
2020-11-20,17.446054144535616,5,95,0.9585127456364982,14.600991051018797,99.45011154988765
2020-11-21,14.156820846897492,5,95,0.721175805877269,15.322166856896066,99.41753867441857
2020-11-22,8.894283737768522,5,95,0.9323208657394995,16.254487722635567,99.38893213447838
2020-11-23,16.23730597973113,5,95,0.5194489805573754,16.77393670319294,99.35045056393393
2020-11-24,8.042202552421678,5,95,0.8349741258086028,17.608910829001545,99.3223688355352
2020-11-25,4.732014835314664,5,95,0.7295281179879582,18.338438946989502,99.29646147422261
2020-11-26,12.358845427298782,5,95,0.8680191844720033,19.206458131461506,99.26384399406616
2020-11-27,15.841486899774477,5,95,0.996245387133829,20.202703518595335,99.22662154455506
2020-11-28,10.898780928237429,5,95,0.7871243273673134,20.989827845962648,99.19446109513949
2020-11-29,10.02873108374879,5,95,0.71017100097515,21.6999988469378,99.16389213106001
2020-11-30,-10.199975667793936,5,95,0.7163705445272702,22.416369391465068,99.13631864285867
2020-12-01,-5.310277979042731,5,95,0.9571595740058131,23.373528965470882,99.11137102191353
2020-12-02,8.81711403934591,5,95,0.7838525200790778,24.15738148554996,99.08139278548762
2020-12-03,4.917745582396819,5,95,0.7060580594329673,24.863439544982924,99.0490738090269
2020-12-04,-5.1573610442422595,5,95,0.7355919695021836,25.59903151448511,99.02621440051375
2020-12-05,-9.24377524062229,5,95,0.7374164116027271,26.336447926087835,99.00344769635916
2020-12-06,0.6910786904117678,5,95,0.5349718230211737,26.87141974910901,98.97065611861898
2020-12-07,-12.979401443388806,5,95,0.9372639311322923,27.8086836802413,98.94979734477697
2020-12-08,-5.9416410485833815,5,95,0.6192081874307629,28.427891867672066,98.9270029468106
2020-12-09,1.7593639308649998,5,95,0.7256694412330756,29.153561308905143,98.90066095955557
2020-12-10,-3.643984836925971,5,95,0.9487583514524741,30.10231966035762,98.87410565852194
2020-12-11,4.490687060146918,5,95,0.740748625971684,30.843068286329302,98.8488503518454
2020-12-12,-15.865335519490355,5,95,0.9236230477692848,31.76669133409859,98.82307047735347
2020-12-13,-7.1375843904461655,5,95,0.5131863745325246,32.27987770863111,98.79987019925616
2020-12-14,-2.97096681975737,5,95,0.6379054711359569,32.91778317976707,98.77066827992067
2020-12-15,5.345971387000418,5,95,0.896504021159532,33.8142872009266,98.73757703976136
2020-12-16,9.304125986926216,5,95,0.6884044471269696,34.50269164805357,98.70861436262726
2020-12-17,3.0650840052495845,5,95,0.8412005659727158,35.34389221402628,98.67892161015422
2020-12-18,8.040928999050557,5,95,0.7055304134536597,36.04942262747994,98.64405823204481
2020-12-19,1.1101133700471966,5,95,0.6480306028079574,36.6974532302879,98.618481176319
2020-12-20,-2.380056287875469,5,95,0.8981699271208802,37.59562315740878,98.58840985015551
2020-12-21,-12.170766070758333,5,95,0.9789207113053988,38.57454386871418,98.56507497614412
2020-12-22,1.7202544583981734,5,95,0.607985233896466,39.182529102610644,98.53555369092203
2020-12-23,-5.3417598689183095,5,95,0.5578679664026378,39.740397069013284,98.51043697826388
2020-12-24,-0.5840038516599932,5,95,0.5990661203291625,40.339463189342446,98.47841745660955
